Region,Year,Gender,Age_Group,Population,PCC_litres_year,Correction_factor,Relative_consumption,P_LA,P_FD,P_CD,P_BD
04:NB,2010,Female,15-34,90755,8.4916,0.8,41.298,0.183483,0.110782,0.705735,0.331669
04:NB,2010,Female,35-64,165000,8.4916,0.8,34.0337,0.103403,0.163567,0.73303,0.197819
04:NB,2010,Female,65+,61145,8.4916,0.8,21.1372,0.181193,0.260783,0.558024,0.066767
04:NB,2011,Male,15-34,89070,8.0132,0.8,100,0.126679,0.083471,0.789851,0.466393
04:NB,2011,Male,35-64,159275,8.0132,0.8,92.729,0.046373,0.136235,0.817392,0.332649
04:NB,2011,Male,65+,46490,8.0132,0.8,79.8149,0.123643,0.233294,0.643063,0.201728
04:NB,2011,Female,15-34,90755,8.0132,0.8,41.1427,0.182623,0.111267,0.706109,0.332649
04:NB,2011,Female,35-64,165000,8.0132,0.8,33.8557,0.102593,0.164064,0.733343,0.198782
04:NB,2011,Female,65+,61145,8.0132,0.8,20.9232,0.180438,0.261295,0.558267,0.06771
04:NB,2012,Male,15-34,88020,7.8936,0.8,100,0.115923,0.089876,0.794202,0.478992
04:NB,2012,Male,35-64,165195,7.8936,0.8,92.4678,0.035618,0.14263,0.821752,0.345253
04:NB,2012,Male,65+,55265,7.8936,0.8,79.0809,0.113026,0.239749,0.647224,0.214273
04:NB,2012,Female,15-34,87840,7.8936,0.8,39.0233,0.171839,0.117666,0.710495,0.34526
04:NB,2012,Female,35-64,172895,7.8936,0.8,31.473,0.091862,0.170464,0.737674,0.211379
04:NB,2012,Female,65+,68365,7.8936,0.8,18.067,0.169819,0.267752,0.562429,0.080257
04:NB,2013,Male,15-34,91888,7.774,0.8,100,0.11229,0.092001,0.795709,0.483209
04:NB,2013,Male,35-64,155413,7.774,0.8,92.3773,0.031979,0.14475,0.823271,0.349474
04:NB,2013,Male,65+,60374,7.774,0.8,78.8187,0.109568,0.241922,0.64851,0.218425
04:NB,2013,Female,15-34,89020,7.774,0.8,38.2835,0.168204,0.119789,0.712007,0.349478
04:NB,2013,Female,35-64,162550,7.774,0.8,30.6407,0.08825,0.172589,0.739161,0.21559
04:NB,2013,Female,65+,72127,7.774,0.8,17.0654,0.166354,0.269923,0.563724,0.084413
04:NB,2014,Male,15-34,90470,7.8936,0.8,100,0.11114,0.092647,0.796213,0.484518
04:NB,2014,Male,35-64,154069,7.8936,0.8,92.3488,0.030814,0.145391,0.823795,0.350789
04:NB,2014,Male,65+,64912,7.8936,0.8,78.7313,0.108584,0.24261,0.648806,0.219675
04:NB,2014,Female,15-34,86420,7.8936,0.8,38.0542,0.167037,0.120432,0.712531,0.350793
04:NB,2014,Female,35-64,160955,7.8936,0.8,30.3812,0.087102,0.173235,0.739664,0.216899
04:NB,2014,Female,65+,75333,7.8936,0.8,16.7477,0.165364,0.270609,0.564027,0.085664
04:NB,2015,Male,15-34,89051,8.1328,0.8,100,0.112735,0.091649,0.795616,0.482601
04:NB,2015,Male,35-64,152725,8.1328,0.8,92.3919,0.032403,0.144392,0.823205,0.348874
04:NB,2015,Male,65+,69451,8.1328,0.8,78.8435,0.110346,0.241648,0.648006,0.217699
04:NB,2015,Female,15-34,83820,8.1328,0.8,38.4029,0.168626,0.119432,0.711942,0.348878
04:NB,2015,Female,35-64,159360,8.1328,0.8,30.7723,0.088714,0.172241,0.739046,0.214975
04:NB,2015,Female,65+,78539,8.1328,0.8,17.2088,0.167119,0.269646,0.563235,0.083691
05:QC,2006,Male,15-34,1020905,10.166,0.8,100,0.072655,0.041939,0.885406,0.46671
05:QC,2006,Male,35-64,1662032,10.166,0.8,92.2723,0.016736,0.100025,0.883239,0.324148
05:QC,2006,Male,65+,454318,10.166,0.8,82.335,0.047099,0.185926,0.766975,0.210201
05:QC,2006,Female,15-34,973647,10.166,0.8,45.8065,0.12661,0.069269,0.804122,0.333627
05:QC,2006,Female,35-64,1663932,10.166,0.8,37.9905,0.072985,0.127885,0.799129,0.190303
05:QC,2006,Female,65+,606446,10.166,0.8,27.7832,0.109479,0.215179,0.675342,0.07403
05:QC,2007,Male,15-34,1031720,10.166,0.8,100,0.076957,0.039743,0.8833,0.462024
05:QC,2007,Male,35-64,1674080,10.166,0.8,92.3566,0.021101,0.097837,0.881062,0.319443
05:QC,2007,Male,65+,469588,10.166,0.8,82.5248,0.051577,0.18379,0.764632,0.205446
05:QC,2007,Female,15-34,987582,10.166,0.8,46.4075,0.131048,0.067104,0.801848,0.328892
05:QC,2007,Female,35-64,1668748,10.166,0.8,38.6957,0.077043,0.12563,0.797327,0.18571
05:QC,2007,Female,65+,623473,10.166,0.8,28.5809,0.114044,0.213062,0.672893,0.069247
05:QC,2008,Male,15-34,923969,10.4052,0.8,100,0.076835,0.04016,0.883005,0.462515
05:QC,2008,Male,35-64,1681552,10.4052,0.8,92.3399,0.021033,0.098274,0.880694,0.319913
05:QC,2008,Male,65+,443029,10.4052,0.8,82.4794,0.051775,0.184295,0.76393,0.20582
05:QC,2008,Female,15-34,943071,10.4052,0.8,46.3033,0.131124,0.067565,0.801311,0.329314
05:QC,2008,Female,35-64,1708810,10.4052,0.8,38.5973,0.076619,0.125987,0.797394,0.18631
05:QC,2008,Female,65+,597873,10.4052,0.8,28.4343,0.114338,0.213592,0.67207,0.06959
05:QC,2009,Male,15-34,958760,10.5248,0.8,100,0.08259,0.03716,0.880249,0.456186
05:QC,2009,Male,35-64,1633430,10.5248,0.8,92.455,0.026804,0.09527,0.877926,0.313582
05:QC,2009,Male,65+,456360,10.5248,0.8,82.7326,0.05777,0.181375,0.760855,0.199398
05:QC,2009,Female,15-34,948615,10.5248,0.8,47.1073,0.136944,0.064582,0.798474,0.322963
05:QC,2009,Female,35-64,1672535,10.5248,0.8,39.535,0.082014,0.122901,0.795086,0.180117
05:QC,2009,Female,65+,623925,10.5248,0.8,29.4967,0.120413,0.210688,0.668899,0.063144
05:QC,2010,Male,15-34,958760,10.4052,0.8,100,0.086837,0.034951,0.878212,0.451521
05:QC,2010,Male,35-64,1633430,10.4052,0.8,92.5283,0.031282,0.093106,0.875611,0.308836
